company_uuid,person_uuid,role,title
62516ebe-b1f4-7d7f-7339-877e9f6b800b,cc5c2fcb-5641-4b46-83c6-749e83a4dd9c,other,Research Scientist
62516ebe-b1f4-7d7f-7339-877e9f6b800b,8354749e-5b75-4b67-b0fd-7f694730ee45,c_suite,CTO and Co-Founder
62516ebe-b1f4-7d7f-7339-877e9f6b800b,462a658b-2397-4a1f-91af-b9ef179954c4,c_suite,Director of Machine Learning
aa23df8c-c638-6c1c-b6c6-0dc93890d763,765a20e2-87cd-620d-518f-fe2f59b0758d,c_suite,Co-founder and CEO
7b12d448-2b25-c72f-1279-20cc502c0cce,d51fea57-8817-af47-b63c-ace71d132b95,c_suite,"Founder, Chief Product Officer"
3d9444de-6fff-9e41-dbcc-dda3483d2df1,e0f3a422-fab0-2b77-d4c2-986182bf819e,c_suite,Co-Founder & CEO
3d9444de-6fff-9e41-dbcc-dda3483d2df1,7cd00a16-19e4-4936-92ec-bddd8fe93572,other,Chief Of Staff
3d9444de-6fff-9e41-dbcc-dda3483d2df1,6f20ad51-3de7-d430-eec2-71305d87ca16,founder,Co-Founder
3d9444de-6fff-9e41-dbcc-dda3483d2df1,b21c9f9c-7141-4669-a0d0-3dec7cb9fe75,c_suite,Chief Medical Officer
3d9444de-6fff-9e41-dbcc-dda3483d2df1,541915f3-a08f-5d77-caa3-b31315451b68,advisor,Member - Strategic Advisory Board
9de54702-65e0-0087-dc4b-c7449850f7ad,9486d180-fbb4-eb02-afe2-1b7174fb1e7a,c_suite,Chief Executive Officer
c2ccc218-4a66-a9ca-d956-7ad3716867ea,d4a283b9-6b9d-2ed0-42f9-185f3b5c5d0c,c_suite,Chief Technology Officer
c2ccc218-4a66-a9ca-d956-7ad3716867ea,8744c0d8-c21d-499b-b460-6f7bc7f91dad,c_suite,Founder and CEO
cd8a80d4-8595-130b-aebc-f04d2881c5bd,c0f65932-68a7-64e5-43bc-54d0cffe2cda,c_suite,Chief Executive Officer and Founder
cd8a80d4-8595-130b-aebc-f04d2881c5bd,b3a965f9-9345-062d-647f-1b78379ddf6f,c_suite,CTO
25d7de9a-8ce4-b2a3-143e-b997737245ab,e66b796d-d855-e5c1-aeb5-ede652ee0d9f,c_suite,CRO / CMO (Chief Marketing & Revenue Officer) Company NameParknav
fa859472-822d-8bc9-6379-3a6bc397a7df,95a9626e-c1d1-083d-1fd0-1f3046b5945f,c_suite,Founder and CEO
fa859472-822d-8bc9-6379-3a6bc397a7df,dd5c565d-3881-92b7-d9d7-104ca58745b2,c_suite,Co-Founder and Chief Operating Officer
ea28a49a-c477-3f20-7b27-645ee074597a,af64601d-c169-4bf5-85f5-30a5cea39800,c_suite,CEO & Co-Founder
