investor_uuid,permalink,name,entity_def_id,investor_type,investment_count,website
06dd55b7-0661-4a94-aa79-ae3851528c0a,anup-reddy-perati,ANUP REDDY PERATI,person,angel_investor,,
833ccd69-342d-4242-827e-c654f67e29ed,long-run-capital,Long Run Capital,organization,venture_capital,,https://www.longrun.capital
fc2929e9-be14-45a8-8899-e65f5c063a40,gluon-syndicate,Gluon Syndicate,organization,"angel_group,syndicate",,https://www.gluon.vc
8cc30f3a-e99b-4660-aa15-4604b9859fd5,elevenlabs,ElevenLabs,organization,,,http://elevenlabs.io
9c3b9c7f-a464-42fc-a77c-b4c66262e0b4,ainn-labs,AINN Labs,organization,,,https://anvm.io
2ef4bd71-5e1b-45bf-ae25-401cf857562c,amber-ai,Amber Group,organization,,,http://www.ambergroup.io
8058a822-cb20-403f-b3ed-f8c368ffc165,bitmax,AscendEX,organization,,,https://ascendex.com/
f144e1fc-abc8-4ed3-b7fc-d6b97d70a58f,bitmart-exchange,BitMart,organization,,,https://www.bitmart.com
b20d5c0b-f78f-48d9-b277-526c831c5c05,bitrise-capital,Bitrise Capital,organization,venture_capital,,http://www.bitrisevc.com/
51b93dad-67ec-4b76-b621-e962d122c895,foundinals-lab,Foundinals LAB,organization,,,https://www.ordinals.foundation
a71a829f-0692-4647-9800-02250e161a32,monday-capital,Monday Capital,organization,venture_capital,,https://monday.capital
b1b29c59-bed4-4240-8c3f-55669e1553ec,satoshi-lab,Satoshi Lab,organization,venture_capital,,
2b469017-49f9-4b13-a25c-3c29af30d265,matthew-bellamy-d265,Matthew Bellamy,person,angel_investor,,
d4ffc6b9-f955-4e8f-8b0f-3c353725e061,vladlen-koltun-e061,Vladlen Koltun,person,angel_investor,,
e8b3ec09-ac71-c207-fc45-6deea356a733,wet-paint-ventures,Wet Paint Ventures,organization,angel_group,,http://wetpaintventures.com
9462e1bc-0433-411b-bf32-4febee7ffcb3,brayne-vc,Brayne.vc.,organization,family_investment_office,,https://brayne.vc./
b50d2700-ad90-4da5-bed4-561c289b4eb2,funders,Funders,organization,venture_capital,,https://funders.vc
39e5ec0c-11d8-4b7f-ae24-cec4a8961a03,solari-capital,Solari Capital,organization,venture_capital,,https://www.solaricap.com/
40579462-5390-4e24-bfdb-9ea39bce5cb4,aussie-angels,Aussie Angels,organization,angel_group,,https://www.aussieangels.com/
08418364-95a1-45b8-a8cf-7e18df9ae654,eastend-ventures,Eastend Ventures,organization,venture_capital,,https://www.eastend.vc/
0ee40953-41cf-4073-b4ee-e185d835602a,euphemia,Euphemia,organization,family_investment_office,,https://euphemia.com/
799eb60a-1f1c-491c-8dfb-ac929e29cbe3,even-capital-cbe3,Even Capital,organization,venture_capital,,https://evencapital.nz
537891bd-ce03-4464-9084-7265ccb5d3d7,wendy-yang-d3d7,Wendy Yang,person,angel_investor,,
c9646298-b3be-4f2e-a06c-40ce4c1d5841,raven-indigenous-capital-partners,Raven Indigenous Capital Partners,organization,venture_capital,,http://ravencapitalpartners.ca/
