company_uuid,edu_data_available,founder_top_univ_count,founder_univ_degree_avg,founder_univ_pagerank_max,co_alumni_investor_overlap,founder_alumni_network_size,founder_ex_faang_count,founder_ex_startup_count,founder_prior_org_pagerank_max,coworker_investor_overlap,founder_coworker_network_size,founder_industry_diversity,founder_investor_social_proximity,team_network_reach
92cf21d1-7f7f-44e5-9e9d-fe859451388c,1,0,33.0,0.00021623081522675156,0.0,32.0,0,0,1.4941322483630992e-05,0.0,10.0,6,0.0,42.0
344aaedc-1c06-4325-bb23-50af838e1aca,0,0,,,,,0,0,,,,0,,
4361b5e3-697b-325f-63e7-1814d63b865f,1,0,54.0,0.00036476309822807573,0.0,53.0,0,0,0.0010790478276948212,2.0,500.0,4,1.0,553.0
70f894db-f691-9ad5-402c-93277256ff0e,0,0,,,0.0,,0,0,,0.0,,0,0.0,
8db4d20c-bce1-4b71-bd5c-3c34edacd120,0,0,,,0.0,,0,0,,0.0,,0,1.0,
452d8dab-cdc2-4775-b0ed-2044913423f5,1,0,17.0,0.00010968901832346587,0.0,16.0,1,0,0.00046246136628475475,2.0,657.0,8,1.0,672.0
60cca5a1-e58e-4fd7-b265-6a3a6a41fa94,1,0,85.0,0.0010205773435449518,0.0,168.0,0,0,6.680814672934214e-06,0.0,1.0,1,0.0,169.0
992ee56b-6843-4558-a6d2-06d827123f02,1,0,224.5,0.0017450689960682758,1.0,447.0,0,1,7.209099776674826e-05,0.0,85.0,7,1.0,532.0
76916429-d567-4485-973a-7eda733a819f,1,0,13.0,0.00010047467590684877,0.0,12.0,0,0,4.651573052744647e-05,0.0,68.0,9,0.0,80.0
9ad93e80-cf68-48e6-a350-af905e8b03e0,1,1,1329.0,0.014637025750933357,1.0,2651.0,0,0,,0.0,,0,1.0,2651.0
0cb20764-4950-488b-a60e-fc1e5f739b12,1,0,145.0,0.0014080821484325132,0.0,288.0,0,0,1.2122936716796858e-05,0.0,4.0,2,0.0,292.0
7263b10d-0e44-403a-8d42-40dd311a7e5d,0,0,,,0.0,,0,0,4.632016337390799e-06,0.0,0.0,1,0.0,0.0
57758417-9a60-458f-9ba0-f244274d25dd,0,0,,,0.0,,0,0,,0.0,,0,0.0,
768a12be-d6e4-4b16-91db-353f1ff6b5dc,1,0,129.0,0.0008225500422413295,3.0,128.0,0,0,7.835093643152662e-06,0.0,5.0,3,1.0,133.0
